,index,highest charting position,number of times charted,song name,streams,artist,artist followers,genre,release date,weeks charted,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,valence,chord,popularity
0,1,1,8,Beggin',"48,633,449",Måneskin,3377762.0,"['indie rock italiano', 'italian pop']",2017-12-08 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,0.589,B,100.0
1,2,2,3,STAY (with Justin Bieber),"47,248,719",The Kid LAROI,2230022.0,['australian hip hop'],2021-07-09 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,0.478,C#/Db,99.0
2,3,1,11,good 4 u,"40,162,559",Olivia Rodrigo,6266514.0,['pop'],2021-05-21 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21",0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,0.688,A,99.0
3,4,3,5,Bad Habits,"37,799,456",Ed Sheeran,83293380.0,"['pop', 'uk pop']",2021-06-25 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,0.591,B,98.0
4,5,5,1,INDUSTRY BABY (feat. Jack Harlow),"33,948,454",Lil Nas X,5473565.0,"['lgbtq+ hip hop', 'pop rap']",2021-07-23 00:00:00,2021-07-23--2021-07-30,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,0.894,D#/Eb,96.0
5,6,1,18,MONTERO (Call Me By Your Name),"30,071,134",Lil Nas X,5473565.0,"['lgbtq+ hip hop', 'pop rap']",2021-03-31 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02",0.61,0.508,-6.682,0.152,0.297,0.384,178.818,0.758,G#/Ab,97.0
6,7,3,16,Kiss Me More (feat. SZA),"29,356,736",Doja Cat,8640063.0,"['dance pop', 'pop']",2021-04-09 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,0.742,G#/Ab,94.0
7,8,2,10,Todo De Ti,"26,951,613",Rauw Alejandro,6080597.0,"['puerto rican pop', 'trap latino']",2021-05-20 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,0.342,D#/Eb,95.0
8,9,3,8,Yonaguni,"25,030,128",Bad Bunny,36142273.0,"['latin', 'reggaeton', 'trap latino']",2021-06-04 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",0.644,0.648,-4.601,0.118,0.276,0.135,179.951,0.44,C#/Db,96.0
9,10,8,10,I WANNA BE YOUR SLAVE,"24,551,591",Måneskin,3377762.0,"['indie rock italiano', 'italian pop']",2021-03-19 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,0.958,C#/Db,95.0
10,11,4,43,Levitating (feat. DaBaby),"23,518,010",Dua Lipa,27142474.0,"['dance pop', 'pop', 'uk pop']",2020-10-01 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09",0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,0.915,F#/Gb,89.0
11,12,9,9,Qué Más Pues?,"22,405,111","J Balvin, Maria Becerra",29051363.0,"['latin', 'reggaeton', 'reggaeton colombiano']",2021-05-28 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04",0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,0.768,G#/Ab,95.0
12,13,5,3,Permission to Dance,"22,062,812",BTS,37106176.0,"['k-pop', 'k-pop boy group']",2021-07-09 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,0.646,A,95.0
13,14,1,19,Peaches (feat. Daniel Caesar & Giveon),"20,294,457",Justin Bieber,48504126.0,"['canadian pop', 'pop', 'post-teen pop']",2021-03-19 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26",0.677,0.696,-6.181,0.119,0.321,0.42,90.03,0.464,C,94.0
14,15,2,10,Butter,"19,985,713",BTS,37106176.0,"['k-pop', 'k-pop boy group']",2021-06-04 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,0.695,G#/Ab,95.0
15,16,7,10,traitor,"19,480,679",Olivia Rodrigo,6266514.0,['pop'],2021-05-21 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,0.0849,D#/Eb,94.0
16,17,3,17,deja vu,"18,571,755",Olivia Rodrigo,6266514.0,['pop'],2021-05-21 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09",0.442,0.612,-7.222,0.112,0.584,0.37,180.917,0.178,D,93.0
17,18,5,14,Save Your Tears (with Ariana Grande) (Remix),"18,053,141",The Weeknd,35305637.0,"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-04-23 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30",0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,0.593,C,94.0
18,19,14,5,AM Remix,"17,617,965","Nio Garcia, J Balvin, Bad Bunny",2123734.0,"['latin', 'reggaeton', 'trap latino']",2021-06-24 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,0.785,F#/Gb,93.0
19,20,20,7,Need To Know,"16,908,917",Doja Cat,8640063.0,"['dance pop', 'pop']",2021-06-25 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18",0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,0.194,C#/Db,90.0
20,21,19,3,Volando - Remix,"16,606,925","Mora, Bad Bunny, Sech",151486.0,"['reggaeton', 'trap latino']",2021-07-08 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,0.632,F#/Gb,91.0
21,22,22,5,Ain't Shit,"16,126,897",Doja Cat,8640063.0,"['dance pop', 'pop']",2021-06-25 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",0.855,0.488,-4.601,0.208,0.506,0.347,124.097,0.619,D#/Eb,90.0
22,23,1,29,drivers license,"15,684,978",Olivia Rodrigo,6266514.0,['pop'],2021-05-21 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15",0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,0.137,A#/Bb,92.0
23,24,24,31,Heat Waves,"15,089,184",Glass Animals,1890510.0,"['gauze pop', 'indietronica', 'shiver pop']",2020-08-07 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01",0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,0.531,B,85.0
24,25,1,83,Blinding Lights,"15,011,809",The Weeknd,35305637.0,"['canadian contemporary r&b', 'canadian pop', 'pop']",2020-03-20 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,0.334,C#/Db,92.0
25,26,12,10,happier,"14,849,078",Olivia Rodrigo,6266514.0,['pop'],2021-05-21 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,0.338,F#/Gb,92.0
26,27,27,3,Pepas,"14,809,458",Farruko,10502148.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",2021-06-24 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,0.442,G,92.0
27,28,18,3,Motley Crew,"14,329,162",Post Malone,33651775.0,"['dfw rap', 'melodic rap', 'rap']",2021-07-09 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,0.288,D#/Eb,90.0
28,29,15,23,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"14,273,637","Riton, Nightcrawlers",83689.0,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",2021-01-15 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26",0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,0.801,D,92.0
29,30,3,28,Astronaut In The Ocean,"14,174,752",Masked Wolf,365975.0,['australian hip hop'],2021-01-06 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22",0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,0.472,E,89.0
30,31,5,21,Leave The Door Open,"13,963,568","Bruno Mars, Anderson .Paak, Silk Sonic",32574754.0,"['dance pop', 'pop', 'post-teen pop']",2021-03-05 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12",0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,0.719,F,92.0
31,32,32,1,Don't Go Yet,"13,205,250",Camila Cabello,22683756.0,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2021-07-23 00:00:00,2021-07-23--2021-07-30,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,0.61,A#/Bb,88.0
32,33,11,10,favorite crime,"12,818,935",Olivia Rodrigo,6266514.0,['pop'],2021-05-21 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,0.218,A,91.0
33,34,10,15,Pareja Del Año,"12,572,307","Sebastian Yatra, Myke Towers",16216789.0,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",2021-04-16 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23",0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,0.808,E,91.0
34,35,4,83,Watermelon Sugar,"11,996,689",Harry Styles,16112621.0,"['pop', 'post-teen pop']",2019-12-13 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,0.557,C,90.0
35,36,36,1,NOT SOBER (feat. Polo G & Stunna Gambino),"11,869,336",The Kid LAROI,0.0, ,0,2021-07-23--2021-07-30,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0
36,37,3,16,RAPSTAR,"11,683,383",Polo G,4840346.0,['chicago rap'],2021-04-09 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",0.789,0.536,-6.862,0.242,0.41,0.129,81.039,0.437,F#/Gb,89.0
37,38,15,5,You Right,"11,629,418","Doja Cat, The Weeknd",8640063.0,"['dance pop', 'pop']",2021-06-25 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,0.436,G#/Ab,89.0
38,39,39,3,911 - Remix,"11,553,846","Sech, Jhay Cortez",8758283.0,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",2021-07-09 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,0.784,G,89.0
39,40,1,39,DÁKITI,"11,524,288","Bad Bunny, Jhay Cortez",36142273.0,"['latin', 'reggaeton', 'trap latino']",2020-11-27 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06",0.731,0.573,-10.059,0.0544,0.401,0.113,109.928,0.145,E,86.0
40,41,41,13,Miénteme,"11,477,024","TINI, Maria Becerra",2936204.0,"['latin pop', 'pop argentino']",2021-04-29 00:00:00,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07",0.85,0.541,-4.522,0.0674,0.161,0.286,92.003,0.916,D,90.0
